,name,answer
0,ivanzoizi,Да
1,ivanzoizi,Да
2,ivanzoizi,Да
3,ivanzoizi,фцвфцв
4,ivanzoizi,Нет
5,ivanzoizi,Да
6,ivanzoizi,Да
7,ivanzoizi,Да
8,ivanzoizi,Да
9,ivanzoizi,Да
10,ivanzoizi,Да
11,ivanzoizi,Да
12,ivanzoizi,Да
13,ivanzoizi,Да
14,ivanzoizi,да
15,ivanzoizi,Да
16,ivanzoizi,Lf
17,ivanzoizi,Да
18,ivanzoizi,Да
19,ivanzoizi,Да
20,ivanzoizi,Да
21,ivanzoizi,Да
22,ivanzoizi,Да
23,ivanzoizi,Да
24,ivanzoizi,Да
25,ivanzoizi,Да
26,ivanzoizi,Да
27,ivanzoizi,Да
28,ivanzoizi,Да
29,ivanzoizi,Да
30,ivanzoizi,Да
31,ivanzoizi,Да
32,ivanzoizi,Да
33,ivanzoizi,Да
34,ivanzoizi,Да
35,ivanzoizi,Да
36,ivanzoizi,Да
37,ivanzoizi,Да
38,ivanzoizi,Да
39,ivanzoizi,Да
